Oxidation	Sample	Group	Genome_Name_spaced	Genome_Name_Updated	Genome_Size	GC	Genome_Reference	taxon_oid	Domain	Phylum	Class	Order	Family	Genus	Species	Strain	IMG_Genome_ID_	NCBI_Taxon_ID	Culture_Type	Cultured	Ecosystem	Ecosystem_Category	Ecosystem_Subtype	Ecosystem_Type	Energy_Source	Geographic_Location	Habitat	Metabolism	Motility	Temperature_Range	Gene_Count	CDS_Count	RNA_Count	16S_rRNA_Count	tRNA_Count	Status	Study_Name	Sequencing_Center	Latitude_exact	Longitude_exact	Country	Ref_location	Latitude_country	Longitude_country
Methane	isolate	Ia	Methylomicrobium alcaliphilum 20Z	Methylomicrobium_alcaliphilum_20Z	4668296	0.49	"Vuilleumier, S., Khmelenina, V. N., Bringel, F., Reshetnikov, A. S., Lajus, A., Mangenot, S., ... & Dunfield, P. (2012). Genome sequence of the haloalkaliphilic methanotrophic bacterium Methylomicrobium alcaliphilum 20Z. Journal of bacteriology, 194(2), 551-552."	2540341096	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomicrobium	Methylomicrobium alcaliphilum	20Z	2540341096	1091494	Isolate	Yes	Environmental	Aquatic	Alkaline	Non-marine Saline and Alkaline		"Russia, Siberia, Tuva"	Sediment				4083	4007	76	3	44	Finished	Methylomicrobium alcaliphilum 20Z	CEA Genoscope	51.783333	94.75	Russia	Tuva (Central Asia) - Literature	51.783333	94.75
Methane	isolate	Ia	Methylomicrobium buryatense 5G	Methylomicrobium_buryatense_5G	5067278	0.49	"Khmelenina, V. N., Beck, D. A., Munk, C., Davenport, K., Daligault, H., Erkkila, T., ... & Teshima, H. (2013). Draft genome sequence of Methylomicrobium buryatense Strain 5G, a haloalkaline-tolerant methanotrophic bacterium. Genome announcements, 1(4), e00053-13."	2516653075	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomicrobium	Methylomicrobium buryatense	5G	2516653075	675511	Isolate	Yes					Methanotroph		Soil	"Hydrocarbon degrading, Methane oxidation"		Mesophile	4530	4458	72	3	44	Permanent Draft	Whole Genome Sequencing of Methanotrophic Bacteria from Diverse Environments	DOE Joint Genome Institute (JGI)	53	115	Russia	bottom sediments of Southeastern Transbaikal soda lakes - Literature	53	115
Methane	isolate	Ia	Methylomonas denitrificans FJG1 (ver 1)	Methylomonas_denitrificans_FJG1	5010794	0.52	"Orata, F. D., Kits, K. D., & Stein, L. Y. (2018). Complete Genome Sequence of Methylomonas denitrificans Strain FJG1, an Obligate Aerobic Methanotroph That Can Couple Methane Oxidation with Denitrification. Genome Announcements, 6(17), e00276-18."	2599185159	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Methylomonas denitrificans	FJG1	2599185159	1538553	Isolate	Yes	Environmental	Unclassified	Unclassified	Unclassified		N.A					4693	4646	47	1	42	Permanent Draft	Methylomonas denitrificans FJG1	University of Alberta	NA	NA	Canada	IMG/JGI country	60	-95
Methane	isolate	Ia	Methylomonas koyamae JCM 16701	Methylomonas_koyamae_JCM_16701	4925972	0.56	"Ogiso, T., Ueno, C., Dianou, D., Van Huy, T., Katayama, A., Kimura, M., & Asakawa, S. (2012). Methylomonas koyamae sp. nov., a type I methane-oxidizing bacterium from floodwater of a rice paddy field. International journal of systematic and evolutionary microbiology, 62(8), 1832-1837."	2728369704	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Methylomonas koyamae	JCM 16701	2728369704	1294261	Isolate	Yes											6170	6113	57	1	43	Permanent Draft	Genome sequencing of Methylomonas koyamae JCM 16701	University of Tokyo	NA	NA	Japan	floodwater of a rice paddy field in Japan - Literature	35	136
Methane	isolate	Ia	Methylomonas lenta R-45370	Methylomonas_lenta_R-45370	4703858	0.47	"Heylen, K., De Vos, P., & Vekeman, B. (2016). Draft genome sequences of eight obligate methane oxidizers occupying distinct niches based on their nitrogen metabolism. Genome announcements, 4(4), e00421-16."	2744054733	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Methylomonas lenta	R-45370	2744054733	980561	Isolate	Yes						Belgium: Ghent					4468	4408	60	1	40	Permanent Draft	Methylomonas genome sequencing - Ghent University	Ghent University	51.061303	3.674711	Belgium	"top layer of a denitrification tank of a wastewater treatment plant (WWTP) (Ossemeersen, Gent, Belgium) - Literature"	51.061303	3.674711
Methane	isolate	Ia	Methylomonas methanica MC09	Methylomonas_methanica_MC09	5051681	0.51	"Boden, R., Cunliffe, M., Scanlan, J., Moussard, H., Kits, K. D., Klotz, M. G., ... & Mikhailova, N. (2011). Complete genome sequence of the aerobic marine methanotroph Methylomonas methanica MC09. Journal of bacteriology, 193(24), 7001-7002."	2504756059	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Methylomonas methanica	MC09	2504756059	857087	Isolate	Yes	Environmental	Aquatic	Unclassified	Marine		ristol Channel just outside of Penarth in the UK which is a large estuary leading to the Irish Sea.	"Aquatic, Marine, Soil"			Mesophile	4664	4594	70	3	46	Finished	Whole Genome Sequencing of Methanotrophic Bacteria from Diverse Environments	DOE Joint Genome Institute (JGI)	51.43	-3.17	United Kingdom	"methane enrichment culture inoculated with seawater obtained from the coast of Penarth, United Kingdom - Literature"	51.43	-3.17
Methane	isolate	Ia	Methylomonas sp. 11b	Methylomonas_sp._11b	5412720	0.51	"Kalyuzhnaya, M. G., Lamb, A. E., McTaggart, T. L., Oshkin, I. Y., Shapiro, N., Woyke, T., & Chistoserdova, L. (2015). Draft genome sequences of gammaproteobacterial methanotrophs isolated from Lake Washington sediment. Genome announcements, 3(2), e00103-15."	2516143012	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Methylomonas sp. 11b	11b	2516143012	1168169	Isolate	Yes	Environmental	Aquatic	Lentic	Freshwater		Lake Washington	"Aquatic, Fresh water"				5086	5011	75	3	46	Permanent Draft	Genomes of fifty methylotrophs isolated from Lake Washington	DOE Joint Genome Institute (JGI)	47.616667	-122.264722	USA	Lake Washington Sediment - Literature	47.616667	-122.264722
Methane	isolate	Ia	Methylomonas sp. LW13	Methylomonas_sp._LW13	5200804	0.52	"Kalyuzhnaya, M. G., Lamb, A. E., McTaggart, T. L., Oshkin, I. Y., Shapiro, N., Woyke, T., & Chistoserdova, L. (2015). Draft genome sequences of gammaproteobacterial methanotrophs isolated from Lake Washington sediment. Genome announcements, 3(2), e00103-15."	2561511042	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Methylomonas sp. LW13	LW13	2561511042	107637	Isolate	Yes	Environmental	Aquatic	Lentic	Freshwater							4806	4737	69	2	42	Permanent Draft	Genomes of fifty methylotrophs isolated from Lake Washington	DOE Joint Genome Institute (JGI)	47.631156	-122.254601	USA	IMG/JGI	47.631156	-122.254601
Methane	isolate	Ia	Methylomonas sp. MK1	Methylomonas_sp._MK1	5233591	0.51	"Kalyuzhnaya, M. G., Lamb, A. E., McTaggart, T. L., Oshkin, I. Y., Shapiro, N., Woyke, T., & Chistoserdova, L. (2015). Draft genome sequences of gammaproteobacterial methanotrophs isolated from Lake Washington sediment. Genome announcements, 3(2), e00103-15."	2522125151	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Methylomonas sp. MK1	MK1	2522125151	1131552	Isolate	Yes											4851	4781	70	3	47	Permanent Draft	Genomes of fifty methylotrophs isolated from Lake Washington	DOE Joint Genome Institute (JGI)	47.616667	-122.264722	USA	Lake Washington Sediment - Literature	47.616667	-122.264722
Methane	isolate	Ia	Methylosarcina fibrata AML-C10	Methylosarcina_fibrata_AML-C10	4978464	0.54	"Hamilton, R., Kits, K. D., Ramonovskaya, V. A., Rozova, O. N., Yurimoto, H., Iguchi, H., ... & Knief, C. (2015). Draft genomes of gammaproteobacterial methanotrophs isolated from terrestrial ecosystems. Genome announcements, 3(3)."	2517487019	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylosarcina	Methylosarcina fibrata	AML-C10	2517487019	1132443	Isolate	Yes	Engineered	Solid waste	Unclassified	Landfill		Georgia	Soil				4448	4385	63	2	47	Permanent Draft	Revising methanotrophy: a comprehensive genomic probing of the unexpected genetic and metabolic diversity of aerobic methane consuming bacteria.	DOE Joint Genome Institute (JGI)	NA	NA	USA	IMG/JGI country	NA	NA
Methane	isolate	Ia	Methylosarcina lacus LW14	Methylosarcina_lacus_LW14	4384919	0.55	"Kalyuzhnaya, M. G., Lamb, A. E., McTaggart, T. L., Oshkin, I. Y., Shapiro, N., Woyke, T., & Chistoserdova, L. (2015). Draft genome sequences of gammaproteobacterial methanotrophs isolated from Lake Washington sediment. Genome announcements, 3(2), e00103-15."	2517093044	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylosarcina	Methylosarcina lacus	LW14	2517093044	1114263	Isolate	Yes	Environmental	Aquatic	Lentic	Freshwater			"Aquatic, Fresh water"				4047	3975	72	3	53	Permanent Draft	Genomes of fifty methylotrophs isolated from Lake Washington	DOE Joint Genome Institute (JGI)	47.616667	-122.264722	USA	Lake Washington Sediment - Literature	47.616667	-122.264722
Methane	isolate	Ia	Methylovulum miyakonense HT12	Methylovulum_miyakonense_HT12	4687143	0.51	"Hamilton, R., Kits, K. D., Ramonovskaya, V. A., Rozova, O. N., Yurimoto, H., Iguchi, H., ... & Knief, C. (2015). Draft genomes of gammaproteobacterial methanotrophs isolated from terrestrial ecosystems. Genome announcements, 3(3)."	2516653058	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylovulum	Methylovulum miyakonense	HT12	2516653058	1078846	Isolate	Yes	Environmental	Terrestrial	Unclassified	Soil	Methanotroph	"Hyogo Prefecture, Japan"	Soil		Motile	Mesophile	4327	4266	61	3	45	Permanent Draft	Revising methanotrophy: a comprehensive genomic probing of the unexpected genetic and metabolic diversity of aerobic methane consuming bacteria.	DOE Joint Genome Institute (JGI)	NA	NA	Japan	IMG/JGI country	35	136
Methane	isolate	Ib	Methylocaldum szegediense O-12	Methylocaldum_szegediense_O-12	5022295	0.57	*Whole Genome Sequencing of Methanotrophic Bacteria from Diverse Environments	2508501066	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocaldum	Methylocaldum szegediense	O-12	2508501066	675524	Isolate	Yes					Methylotroph				Motile	Mesophile	4755	4693	62	2	47	Permanent Draft	Whole Genome Sequencing of Methanotrophic Bacteria from Diverse Environments	DOE Joint Genome Institute (JGI)	NA	NA	NA	NA	NA	NA
Methane	isolate	Ib	Methylococcus capsulatus Bath	Methylococcus_capsulatus_Bath	3304561	0.64	"Ward, N., Larsen, Ø., Sakwa, J., Bruseth, L., Khouri, H., Durkin, A. S., ... & Lewis, M. (2004). Genomic insights into methanotrophy: the complete genome sequence of Methylococcus capsulatus (Bath). PLoS biology, 2(10), e303."	637000166	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcus	Methylococcus capsulatus	Bath	637000166	243233	Isolate	Yes	Environmental	Aquatic	Sediment	Freshwater	Methanotroph		"Aquatic, Mud"			Thermophile	3061	3001	60	2	46	Finished	Methylococcus capsulatus Bath	J. Craig Venter Institute (JCVI)	NA	NA	NA	NA	NA	NA
Methane	isolate	Ib	"Methylococcus capsulatus Texas, ATCC 19069"	Methylococcus_capsulatus_Texas	3266263	0.64	"Kleiveland, C. R., Hult, L. T. O., Kuczkowska, K., Jacobsen, M., Lea, T., & Pope, P. B. (2012). Draft genome sequence of the methane-oxidizing bacterium Methylococcus capsulatus (Texas). Journal of bacteriology, 194(23), 6626-6626."	2524614767	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcus	Methylococcus capsulatus	"Texas, ACM1292"	2524614767	1224744	Isolate	Yes	Engineered	Wastewater	Unclassified	Unclassified	Heterotroph		Sludge				3091	3019	72	4	50	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	DOE Joint Genome Institute (JGI)	NA	NA	NA	NA	NA	NA
Methane	isolate	Ib	Methylogaea oryzae JCM 16910	Methylogaea_oryzae_E10	3537041	0.62	"Geymonat, E., Ferrando, L., & Tarlera, S. E. (2011). Methylogaea oryzae gen. nov., sp. nov., a mesophilic methanotroph isolated from a rice paddy field. International journal of systematic and evolutionary microbiology, 61(11), 2568-2572."	2675903437	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylogaea	Methylogaea oryzae	JCM 16910	2675903437	493385	Isolate	Yes											5053	4996	57	1	46	Permanent Draft	Genome sequencing of Methylogaea oryzae JCM 16910	University of Tokyo	-32.916667	-54.833333	Uruguay	Uruguayan rice field - South-east Uruguay (32° 55_ S 54° 50_ W) - Literature	-32.916667	-54.833333
Methane	isolate	Ib	Methylomagnum ishizawai 175	Methylomagnum_ishizawai_175	5480099	0.63	"Frindte, K., Kalyuzhnaya, M. G., Bringel, F., Dunfield, P. F., Jetten, M. S., Khmelenina, V. N., ... & Semrau, J. D. (2017). Draft Genome Sequences of Two Gammaproteobacterial Methanotrophs Isolated from Rice Ecosystems. Genome Announcements, 5(33), e00526-17."	2593339134	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomagnum	Methylomagnum ishizawai	175	2593339134	1760988	Isolate	Yes											4872	4806	66	2	51	Permanent Draft	Revising methanotrophy: a comprehensive genomic probing of the unexpected genetic and metabolic diversity of aerobic methane consuming bacteria.	DOE Joint Genome Institute (JGI)	34.958722	137.080333	Japan	"Anjo, Aichi, Japan - Literature"	34.958722	137.080333
Methane	isolate	Ib	Methyloterricola oryzae 73a	Methyloterricola_oryzae_73a	4902375	0.61	"Frindte, K., Kalyuzhnaya, M. G., Bringel, F., Dunfield, P. F., Jetten, M. S., Khmelenina, V. N., ... & Semrau, J. D. (2017). Draft Genome Sequences of Two Gammaproteobacterial Methanotrophs Isolated from Rice Ecosystems. Genome Announcements, 5(33), e00526-17."	2582581277	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	unclassified	Methylococcaceae bacterium 73a	73a	2582581277	1495050	Isolate	Yes											4337	4271	66	3	46	Permanent Draft	Revising methanotrophy: a comprehensive genomic probing of the unexpected genetic and metabolic diversity of aerobic methane consuming bacteria.	DOE Joint Genome Institute (JGI)	13	122	Philippines	paddy rice field at the Philippines - Literature	13	122
Methane	isolate	IIa	Methylocystis parvus OBBP	Methylocystis_parvus_OBBP	4475912	0.63	"del Cerro, C., García, J. M., Rojas, A., Tortajada, M., Ramón, D., Galán, B., ... & García, J. L. (2012). Genome sequence of the methanotrophic poly-_-hydroxybutyrate producer Methylocystis parvus OBBP. Journal of bacteriology, 194(20), 5709-5710."	2548876819	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylocystis	Methylocystis parvus	OBBP	2548876819	1134912	Isolate	Yes					Methanotroph			Nitrogen fixation			4396	4329	67	2	48	Permanent Draft	Methylocystis parvus OBBP	"Institute of Catalysis, The Higher Council for Scientific Research (CSIC)"	NA	NA	NA	NA	NA	NA
Methane	isolate	IIa	Methylocystis rosea SV97T	Methylocystis_rosea_SV97	3912050	0.62	"*Wartiainen, Ingvild, et al. ""Methylocystis rosea sp. nov., a novel methanotrophic bacterium from Arctic wetland soil, Svalbard, Norway (78 N)."" International journal of systematic and evolutionary microbiology 56.3 (2006): 541-547."	2517287028	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylocystis	Methylocystis rosea	SV97	2517287028	1132444	Isolate	Yes											3954	3891	63	1	49	Permanent Draft	Revising methanotrophy: a comprehensive genomic probing of the unexpected genetic and metabolic diversity of aerobic methane consuming bacteria.	DOE Joint Genome Institute (JGI)	78	16	Norway	"Arctic wetland soil, Svalbard, Norway - Literature"	78	16
Methane	isolate	IIa	Methylocystis sp. LW5	Methylocystis_sp._LW5	4760983	0.65	*Genomes of fifty methylotrophs isolated from Lake Washington	2563366505	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylocystis	Methylocystis sp. LW5	LW5	2563366505	107633	Isolate	Yes	Environmental	Aquatic	Lentic	Freshwater			"Aquatic, Fresh water"				4469	4375	94	3	61	Permanent Draft	Genomes of fifty methylotrophs isolated from Lake Washington	DOE Joint Genome Institute (JGI)	48.3807	-122.1599	USA	IMG/JGI country	48.3807	-122.1599
Methane	isolate	IIa	"Methylocystis sp. Rockwell, ATCC 49242"	Methylocystis_sp._ATCC_49242	4726034	0.63	"Stein, Lisa Y., et al. ""Genome sequence of the methanotrophic Alphaproteobacterium, Methylocystis sp. Rockwell (ATCC 49242)."" Journal of bacteriology (2011)."	2517572208	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylocystis	Methylocystis sp. ATCC 49242	Rockwell	2517572208	622637	Isolate	Yes	Environmental	Aquatic	Unclassified	Unclassified	Methanotroph	"Canoga Park, Califorrnia"	"Fresh water, Rice paddies, Sewage plant"				4734	4648	86	2	59	Permanent Draft	Whole Genome Sequencing of Methanotrophic Bacteria from Diverse Environments	DOE Joint Genome Institute (JGI)	34.201	-118.598	USA	IMG/JGI	34.201	-118.598
Methane	isolate	IIa	Methylocystis sp. SB2	Methylocystis_sp._SB2	3653670	0.63	"Vorobev, A., Jagadevan, S., Jain, S., Anantharaman, K., Dick, G. J., Vuilleumier, S., & Semrau, J. D. (2014). Genomic and transcriptomic analyses of the facultative methanotroph Methylocystis sp. strain SB2 grown on methane or ethanol. Applied and environmental microbiology, 80(10), 3044-3052."	2517572022	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylocystis	Methylocystis sp. SB2	SB2	2517572022	743836	Isolate	Yes	Environmental	Aquatic	Wetlands	Freshwater			Wetland		Nonmotile	Mesophile	3657	3583	74	8	46	Permanent Draft	Annotation of genome of Methylocystis strain SB2	University of Michigan	42.16	-83.39	USA	IMG/JGI	42.16	-83.39
Methane	isolate	IIa	Methylocystis sp. SC2	Methylocystis_sp._SC2	3773444	0.63	"Dam, B., Dam, S., Kube, M., Reinhardt, R., & Liesack, W. (2012). Complete genome sequence of Methylocystis sp. strain SC2, an aerobic methanotroph with high-affinity methane oxidation potential. Journal of bacteriology, 194(21), 6008-6009."	2540341127	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylocystis	Methylocystis sp. SC2	SC2	2540341127	187303	Isolate	Yes											3716	3666	50	1	47	Finished	Methylocystis sp. SC2	Max Planck Institute for Terrestrial Microbiology	NA	NA	Germany	highly polluted aquifer in Germany - Literature	51	9
